código,descriptor_es,descriptor_en
9138/1,Hemangioendotelioma seudomiogénico (tipo sarcoma epitelioide),Pseudomyogenic (epithelioid sarcoma-like) hemangioendothelioma
9140/3,Sarcoma de Kaposi,Kaposi sarcoma
9140/31,"Sarcoma de Kaposi - grado I, bien diferenciado","Kaposi sarcoma - grade I, well differentiated"
9140/32,"Sarcoma de Kaposi - grado II, moderadamente diferenciado","Kaposi sarcoma - grade II, moderately differentiated"
9140/33,"Sarcoma de Kaposi - grado III, pobremente diferenciado","Kaposi sarcoma - grade III, poorly differentiated"
9140/34,"Sarcoma de Kaposi - grado IV, indiferenciado","Kaposi sarcoma - grade IV, undifferentiated"
9140/39,"Sarcoma de Kaposi - grado o diferenciación sin determinar o sin asignar, o no procede","Kaposi sarcoma - grade or differentiation not determined or not assigned, or not applicable"
9140/6,"Sarcoma de Kaposi, metástasis","Kaposi sarcoma, metastasis"
9141/0,Angioqueratoma,Angiokeratoma
9142/0,Hemangioma verrugoso queratósico,Verrucous keratotic hemangioma
9160/0,"Angiofibroma, NEOM","Angiofibroma, NOS"
9161/0,Hemangioma en penacho adquirido,Acquired tufted hemangioma
9161/1,Hemangioblastoma,Hemangioblastoma
9170/0,"Linfangioma, NEOM","Lymphangioma, NOS"
9170/3,Linfangiosarcoma,Lymphangiosarcoma
9170/31,"Linfangiosarcoma - grado I, bien diferenciado","Lymphangiosarcoma - grade I, well differentiated"
9170/32,"Linfangiosarcoma - grado II, moderadamente diferenciado","Lymphangiosarcoma - grade II, moderately differentiated"
9170/33,"Linfangiosarcoma - grado III, pobremente diferenciado","Lymphangiosarcoma - grade III, poorly differentiated"
9170/34,"Linfangiosarcoma - grado IV, indiferenciado","Lymphangiosarcoma - grade IV, undifferentiated"
9170/39,"Linfangiosarcoma - grado o diferenciación sin determinar o sin asignar, o no procede","Lymphangiosarcoma - grade or differentiation not determined or not assigned, or not applicable"
9170/6,"Linfangiosarcoma, metástasis","Lymphangiosarcoma, metastasis"
9171/0,Linfangioma capilar,Capillary lymphangioma
9172/0,Linfangioma cavernoso,Cavernous lymphangioma
9173/0,Linfangioma quístico,Cystic lymphangioma
9174/0,Linfangiomioma,Lymphangiomyoma
9174/1,Linfangioleiomiomatosis,Lymphangioleiomyomatosis
9175/0,Hemolinfangioma,Hemolymphangioma
9180/0,"Osteoma, NEOM","Osteoma, NOS"
9180/3,"Osteosarcoma, NEOM","Osteosarcoma, NOS"
9180/31,"Osteosarcoma, NEOM - grado I, bien diferenciado","Osteosarcoma, NOS - grade I, well differentiated"
